City,Latitude,Longitude,Date,Temperature,Humidity,Cloudiness,Windspeed
margate,-43.03,147.26,1541278800,55.4,58,75,10.29
taybad,34.74,60.78,1541281160,19.22,82,0,3.6
albany,42.65,-73.75,1541278440,46.94,53,40,20.8
hobart,-42.88,147.33,1541278800,55.4,58,75,10.29
kupang,-10.16,123.6,1541281161,80.2,94,0,10.09
touros,-5.2,-35.46,1541280891,80.42,81,64,15.41
qaanaaq,77.48,-69.36,1541281161,2.21,100,20,8.75
nizhneyansk,,,,,,,
kendari,-3.99,122.52,1541281162,74.21,94,24,2.04
busselton,-33.64,115.35,1541281162,56.71,100,0,9.53
esperance,10.24,-61.45,1541278800,82.4,78,20,9.17
rikitea,-23.12,-134.97,1541281162,74.35,97,80,21.23
coquimbo,-29.95,-71.34,1541278800,60.8,72,40,11.41
ushuaia,-54.81,-68.31,1541278800,55.4,50,75,17.22
luderitz,-26.65,15.16,1541278800,59,82,48,9.17
lebu,8.96,38.73,1541281164,46,74,12,3.71
hermanus,-34.42,19.24,1541281164,60.44,59,92,4.27
anadyr,64.73,177.51,1541275200,24.8,85,90,13.42
hilo,19.71,-155.08,1541278380,82.04,62,1,6.93
mataura,-46.19,168.86,1541281168,45.1,99,92,23.58
port lincoln,-34.72,135.86,1541281168,56.62,100,24,1.77
kavieng,-2.57,150.8,1541281168,82.81,100,48,5.73
faanui,-16.48,-151.75,1541281169,81.19,100,32,6.62
arraial do cabo,-22.97,-42.02,1541278800,80.6,74,0,16.11
east london,-33.02,27.91,1541281172,71.65,89,20,28.99
mar del plata,-46.43,-67.52,1541280976,61.39,48,48,19.1
sobolevo,54.43,31.9,1541281173,49.69,98,92,7.36
cherskiy,68.75,161.3,1541281173,-9.09,67,36,2.37
belushya guba,,,,,,,
dryden,49.79,-92.84,1541278800,30.2,54,90,2.24
pangnirtung,66.15,-65.72,1541281174,13.91,100,88,1.25
ariquemes,-9.91,-63.03,1541281174,87.76,65,32,2.37
san cristobal,-0.39,-78.55,1541278800,66.2,52,75,9.17
garowe,8.41,48.48,1541281176,70.66,73,0,10.09
kisangani,0.52,25.21,1541281176,72.59,99,36,2.37
thompson,55.74,-97.86,1541278800,19.4,92,90,5.82
makakilo city,21.35,-158.09,1541278620,82.94,60,20,10.29
vaini,15.34,74.49,1541281177,70.93,94,80,2.48
cape town,-33.93,18.42,1541278800,60.8,93,20,16.11
punta arenas,-53.16,-70.91,1541278800,57.2,50,0,17.22
mys shmidta,,,,,,,
mahebourg,-20.41,57.7,1541278800,71.6,83,20,4.7
kapaa,22.08,-159.32,1541278560,82.94,65,40,16.11
north bend,43.41,-124.22,1541278560,57.92,80,1,3
lagoa,37.14,-8.45,1541278800,59,93,0,3.36
samusu,,,,,,,
hofn,64.25,-15.21,1541281183,38.57,100,68,28.16
geraldton,49.72,-86.95,1541278800,32,79,75,5.82
cap malheureux,-19.98,57.61,1541278800,71.6,83,20,4.7
dakar,14.69,-17.45,1541278800,75.2,83,44,11.41
mao,19.55,-71.08,1541278800,84.2,54,20,13.87
nanortalik,60.14,-45.24,1541281185,32.09,92,0,29.77
khash,28.22,61.21,1541281185,23.86,35,0,4
barentsburg,,,,,,,
plettenberg bay,-34.05,23.37,1541281186,70.12,73,20,9.15
taolanaro,,,,,,,
iqaluit,63.75,-68.52,1541278800,17.6,78,90,4.7
chokurdakh,70.62,147.9,1541281186,-14.13,65,32,4.23
alofi,-19.06,-169.92,1541278800,77,53,0,13.87
havre,48.55,-109.68,1541278380,42.98,73,90,4.7
mirnyy,56.57,36.46,1541281188,46.9,96,92,11.39
bluff,-23.58,149.07,1541281188,69.4,83,0,5.39
fort nelson,58.81,-122.69,1541278800,17.6,85,75,3.36
cockburn town,21.46,-71.14,1541281188,81.91,99,0,21.45
sentyabrskiy,,,,,,,
